index,brand,series,processor,os,ssd,ram,display,price,link,pricing
20,realme,book prime,intel core i5 11th gen,windows 11 home,512 gb,16 gb,14,12406321,https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itmcef634fed35dbpid=comgcwbeueyyc7wh&lid=lstcomgcwbeueyyc7whyduyn1&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_93&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcwbeueyyc7wh.search&ssid=3s0bamxoztl6qzgg1653219740289,12000000
21,dell,g15-5511 se,intel core i7 11th gen,windows 11 home,512 gb,16 gb,15.6,19851259,https://www.flipkart.com/dell-g15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-165-hz-g15-5511-se-gaming-laptop/p/itm39da14bb5a421pid=comgcqqzzyt3g54u&lid=lstcomgcqqzzyt3g54uqeyin0&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_94&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcqqzzyt3g54u.search&ssid=3s0bamxoztl6qzgg1653219740289,19000000
22,dell,g15-5515, ,windows 11 home,512 gb,8 gb,15.6,13265352,https://www.flipkart.com/dell-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmb14d1cbc2f2fepid=comgcndppqptkcmn&lid=lstcomgcndppqptkcmnmbbmzw&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_95&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcndppqptkcmn.search&ssid=3s0bamxoztl6qzgg1653219740289,13000000
23,avita,satus ultimus s111, ,windows 11 home,128 gb,4 gb, ,4197799,https://www.flipkart.com/avita-satus-celeron-dual-core-4-gb-128-gb-ssd-windows-11-home-nu14a1inc43pn-mb-laptop/p/itmcc27c094ef28dpid=comgcgwtyfffkaay&lid=lstcomgcgwtyfffkaayw0iwku&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_96&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcgwtyfffkaay.search&ssid=3s0bamxoztl6qzgg1653219740289,4000000
24,asus,s3402za-km501ws,intel core i5 12th gen,windows 11 home,512 gb,16 gb, ,14315280,https://www.flipkart.com/asus-vivobook-s14-oled-2022-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itmb9d5c1df6f0c4pid=comgcg2gxuaamyjf&lid=lstcomgcg2gxuaamyjfojkkyy&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_25&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgcg2gxuaamyjf.search&ssid=e34pcwh5jtdngcu81653219859653,14000000
25,asus,s3402za-km702ws,intel core i7 12th gen,windows 11 home,512 gb,16 gb,14,18133197,https://www.flipkart.com/asus-vivobook-s14-oled-2022-intel-evo-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km702ws-thin-light-laptop/p/itmd1086591ca87cpid=comgcg2gctyuyf4n&lid=lstcomgcg2gctyuyf4nfrnnaw&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_26&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgcg2gctyuyf4n.search&ssid=e34pcwh5jtdngcu81653219859653,18000000
26,asus,ux3402za-km531ws,intel core i5 12th gen,windows 11 home,512 gb,16 gb,14,17178717,https://www.flipkart.com/asus-zenbook-14-oled-2022-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-ux3402za-km531ws-thin-light-laptop/p/itm92e2e0518b654pid=comgdgnfanzmqpac&lid=lstcomgdgnfanzmqpacnayx3s&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_27&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgdgnfanzmqpac.search&ssid=e34pcwh5jtdngcu81653219859653,17000000
27,asus,ux5401zas-kn711ws,intel core i7 12th gen,windows 11 home,1 tb,16 gb,14,25769031,https://www.flipkart.com/asus-zenbook-14x-2022-space-intel-evo-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-ux5401zas-kn711ws-thin-light-laptop/p/itm5ff6cd13c140cpid=comgdgnf2mqrpdcq&lid=lstcomgdgnf2mqrpdcqtcsa3f&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_28&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgdgnf2mqrpdcq.search&ssid=e34pcwh5jtdngcu81653219859653,25000000
28,asus,s3402za-km502ws,intel core i5 12th gen,windows 11 home,512 gb,16 gb, ,14315280,https://www.flipkart.com/asus-vivobook-s14-oled-2022-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itmf9337acb97e70pid=comgcg2gxgjgeyuw&lid=lstcomgcg2gxgjgeyuwi64yyf&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_29&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgcg2gxgjgeyuw.search&ssid=e34pcwh5jtdngcu81653219859653,14000000
29,asus,ux3402za-km731ws,intel core i7 12th gen,windows 11 home,512 gb,16 gb,14,20042155,https://www.flipkart.com/asus-zenbook-14-oled-2022-intel-evo-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-ux3402za-km731ws-thin-light-laptop/p/itm84612fb82dd3apid=comgdgnf3hp9gezz&lid=lstcomgdgnf3hp9gezzcgfji3&marketplace=flipkart&store=6bo%2fb5g&srno=b_2_30&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=019551af-e866-4e28-b478-1d0ebe85127f.comgdgnf3hp9gezz.search&ssid=e34pcwh5jtdngcu81653219859653,20000000
